model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-410m,Non-Deduped,0.41,stackexchange,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,wikipedia,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,cc,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,github,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,openwebtext2,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,freelaw,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,math,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,uspto,0,0.00030034126570622956
EleutherAI/pythia-410m,Non-Deduped,0.41,hackernews,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,books3,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,gutenberg,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,arxiv,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,bookcorpus2,0,6.711664468999733e-12
EleutherAI/pythia-410m,Non-Deduped,0.41,opensubtitles,0,0.06143402802498157
EleutherAI/pythia-410m,Non-Deduped,0.41,youtubesubtitles,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,ubuntu,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,europarl,0,3.2859498366535114e-11
EleutherAI/pythia-410m,Non-Deduped,0.41,philpapers,0,2.2305163790833142e-25
