model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,stackexchange,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,wikipedia,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,cc,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,github,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,openwebtext2,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,freelaw,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,math,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,uspto,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,hackernews,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,books3,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,gutenberg,0,0.0005482066773972295
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,arxiv,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,bookcorpus2,0,2.726433337308886e-16
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,opensubtitles,0,0.015646134390435017
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,youtubesubtitles,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,ubuntu,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,europarl,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,philpapers,0,1.9491389050425324e-28
