model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-410m-deduped,Deduped,0.41,stackexchange,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,wikipedia,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,cc,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,github,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,openwebtext2,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,freelaw,0,0.009351842501581395
EleutherAI/pythia-410m-deduped,Deduped,0.41,math,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,uspto,0,0.0015960842123196345
EleutherAI/pythia-410m-deduped,Deduped,0.41,hackernews,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,books3,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,gutenberg,0,0.0012809853792478067
EleutherAI/pythia-410m-deduped,Deduped,0.41,arxiv,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,bookcorpus2,0,3.631206866180475e-15
EleutherAI/pythia-410m-deduped,Deduped,0.41,opensubtitles,0,0.09556770691243277
EleutherAI/pythia-410m-deduped,Deduped,0.41,youtubesubtitles,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,ubuntu,0,
EleutherAI/pythia-410m-deduped,Deduped,0.41,europarl,0,5.261408955084352e-10
EleutherAI/pythia-410m-deduped,Deduped,0.41,philpapers,0,1.4294844863096155e-21
EleutherAI/pythia-410m,Non-Deduped,0.41,stackexchange,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,wikipedia,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,cc,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,github,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,openwebtext2,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,freelaw,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,math,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,uspto,0,0.00030034126570622956
EleutherAI/pythia-410m,Non-Deduped,0.41,hackernews,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,books3,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,gutenberg,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,arxiv,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,bookcorpus2,0,6.711664468999733e-12
EleutherAI/pythia-410m,Non-Deduped,0.41,opensubtitles,0,0.06143402802498157
EleutherAI/pythia-410m,Non-Deduped,0.41,youtubesubtitles,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,ubuntu,0,
EleutherAI/pythia-410m,Non-Deduped,0.41,europarl,0,3.2859498366535114e-11
EleutherAI/pythia-410m,Non-Deduped,0.41,philpapers,0,2.2305163790833142e-25
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,stackexchange,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,wikipedia,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,cc,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,github,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,openwebtext2,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,freelaw,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,math,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,uspto,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,hackernews,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,books3,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,gutenberg,0,0.0005482066773972295
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,arxiv,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,bookcorpus2,0,2.726433337308886e-16
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,opensubtitles,0,0.015646134390435017
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,youtubesubtitles,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,ubuntu,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,europarl,0,
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,philpapers,0,1.9491389050425324e-28
EleutherAI/pythia-1.4b,Non-Deduped,1.4,stackexchange,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,wikipedia,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,cc,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,github,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,openwebtext2,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,freelaw,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,math,0,0.1713520367402664
EleutherAI/pythia-1.4b,Non-Deduped,1.4,uspto,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,hackernews,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,books3,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,gutenberg,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,arxiv,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,bookcorpus2,0,6.928835897393239e-16
EleutherAI/pythia-1.4b,Non-Deduped,1.4,opensubtitles,0,0.006115220902233201
EleutherAI/pythia-1.4b,Non-Deduped,1.4,youtubesubtitles,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,ubuntu,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,europarl,0,
EleutherAI/pythia-1.4b,Non-Deduped,1.4,philpapers,0,8.126404554224346e-31
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,stackexchange,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,wikipedia,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,cc,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,github,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,openwebtext2,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,freelaw,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,math,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,uspto,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,hackernews,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,books3,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,gutenberg,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,arxiv,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,bookcorpus2,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,opensubtitles,0,0.053936144135281756
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,youtubesubtitles,0,
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,ubuntu,0,
