model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-410m-deduped,Deduped,0.41,stackexchange,0,0.342693858290104
EleutherAI/pythia-410m-deduped,Deduped,0.41,wikipedia,0,8.131819628916105e-06
EleutherAI/pythia-410m-deduped,Deduped,0.41,cc,0,0.645791864977967
EleutherAI/pythia-410m-deduped,Deduped,0.41,github,0,0.12347366082604169
EleutherAI/pythia-410m-deduped,Deduped,0.41,openwebtext2,0,0.24904901853423667
EleutherAI/pythia-410m-deduped,Deduped,0.41,freelaw,0,0.026484635547602754
EleutherAI/pythia-410m-deduped,Deduped,0.41,math,0,0.23092562339024236
EleutherAI/pythia-410m-deduped,Deduped,0.41,uspto,0,0.0012609642816787368
EleutherAI/pythia-410m-deduped,Deduped,0.41,hackernews,0,7.099042287618949e-09
EleutherAI/pythia-410m-deduped,Deduped,0.41,books3,0,2.898213800406539e-05
EleutherAI/pythia-410m-deduped,Deduped,0.41,gutenberg,0,0.0036530278589182296
EleutherAI/pythia-410m-deduped,Deduped,0.41,arxiv,0,0.3258474091812481
EleutherAI/pythia-410m-deduped,Deduped,0.41,bookcorpus2,0,8.659957264547459e-17
EleutherAI/pythia-410m-deduped,Deduped,0.41,opensubtitles,0,0.32972068501884266
EleutherAI/pythia-410m-deduped,Deduped,0.41,youtubesubtitles,0,3.9155318424839713e-22
EleutherAI/pythia-410m-deduped,Deduped,0.41,ubuntu,0,6.367708503468124e-44
EleutherAI/pythia-410m-deduped,Deduped,0.41,europarl,0,4.363164482055736e-10
EleutherAI/pythia-410m-deduped,Deduped,0.41,philpapers,0,5.6731887062842074e-27
