model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-410m,Non-Deduped,0.41,stackexchange,0,2.820497319618547e-11
EleutherAI/pythia-410m,Non-Deduped,0.41,wikipedia,0,7.537595824959815e-06
EleutherAI/pythia-410m,Non-Deduped,0.41,cc,0,0.6013788108433887
EleutherAI/pythia-410m,Non-Deduped,0.41,github,0,0.29587510902617953
EleutherAI/pythia-410m,Non-Deduped,0.41,openwebtext2,0,0.29781666033832843
EleutherAI/pythia-410m,Non-Deduped,0.41,freelaw,0,0.9161489495439106
EleutherAI/pythia-410m,Non-Deduped,0.41,math,0,0.0022257786507838577
EleutherAI/pythia-410m,Non-Deduped,0.41,uspto,0,0.0005501035848227228
EleutherAI/pythia-410m,Non-Deduped,0.41,hackernews,0,4.884960459084261e-09
EleutherAI/pythia-410m,Non-Deduped,0.41,books3,0,0.0001401521153367898
EleutherAI/pythia-410m,Non-Deduped,0.41,gutenberg,0,0.0015380043029633828
EleutherAI/pythia-410m,Non-Deduped,0.41,arxiv,0,0.7053723447275195
EleutherAI/pythia-410m,Non-Deduped,0.41,bookcorpus2,0,2.179107011391193e-17
EleutherAI/pythia-410m,Non-Deduped,0.41,opensubtitles,0,0.0013349785296891438
EleutherAI/pythia-410m,Non-Deduped,0.41,youtubesubtitles,0,4.488842815789158e-15
EleutherAI/pythia-410m,Non-Deduped,0.41,ubuntu,0,3.7406070924750255e-28
EleutherAI/pythia-410m,Non-Deduped,0.41,europarl,0,2.190925695200627e-09
EleutherAI/pythia-410m,Non-Deduped,0.41,philpapers,0,2.9145646487202026e-31
