model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-410m-deduped,Deduped,0.41,stackexchange,0,0.5900715920026909
EleutherAI/pythia-410m-deduped,Deduped,0.41,wikipedia,0,1.7406395206897733e-07
EleutherAI/pythia-410m-deduped,Deduped,0.41,cc,0,0.3920324002298572
EleutherAI/pythia-410m-deduped,Deduped,0.41,github,0,0.14430871410772547
EleutherAI/pythia-410m-deduped,Deduped,0.41,openwebtext2,0,0.34899404811927326
EleutherAI/pythia-410m-deduped,Deduped,0.41,freelaw,0,0.685762975331513
EleutherAI/pythia-410m-deduped,Deduped,0.41,math,0,0.067148213177721
EleutherAI/pythia-410m-deduped,Deduped,0.41,uspto,0,0.00010737922451990252
EleutherAI/pythia-410m-deduped,Deduped,0.41,hackernews,0,1.995314836227129e-05
EleutherAI/pythia-410m-deduped,Deduped,0.41,books3,0,0.03738953237908557
EleutherAI/pythia-410m-deduped,Deduped,0.41,gutenberg,0,0.028391544322239524
EleutherAI/pythia-410m-deduped,Deduped,0.41,arxiv,0,0.3822854325666869
EleutherAI/pythia-410m-deduped,Deduped,0.41,bookcorpus2,0,2.2352341566294246e-09
EleutherAI/pythia-410m-deduped,Deduped,0.41,opensubtitles,0,0.03220234400119392
EleutherAI/pythia-410m-deduped,Deduped,0.41,youtubesubtitles,0,5.3688983439489464e-27
EleutherAI/pythia-410m-deduped,Deduped,0.41,ubuntu,0,1.2745317969634439e-11
EleutherAI/pythia-410m-deduped,Deduped,0.41,europarl,0,0.0005828539610444676
EleutherAI/pythia-410m-deduped,Deduped,0.41,philpapers,0,3.2589257815888534e-13
