model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-410m,Non-Deduped,0.41,stackexchange,0,0.0003212832316366859
EleutherAI/pythia-410m,Non-Deduped,0.41,wikipedia,0,5.004484504868814e-06
EleutherAI/pythia-410m,Non-Deduped,0.41,cc,0,0.3244392636822938
EleutherAI/pythia-410m,Non-Deduped,0.41,github,0,0.12910805915627757
EleutherAI/pythia-410m,Non-Deduped,0.41,openwebtext2,0,0.697890650030738
EleutherAI/pythia-410m,Non-Deduped,0.41,freelaw,0,0.4152672982117942
EleutherAI/pythia-410m,Non-Deduped,0.41,math,0,0.0009252060407647066
EleutherAI/pythia-410m,Non-Deduped,0.41,uspto,0,0.015127129368813086
EleutherAI/pythia-410m,Non-Deduped,0.41,hackernews,0,0.0005186336268383896
EleutherAI/pythia-410m,Non-Deduped,0.41,books3,0,0.00018684390832706383
EleutherAI/pythia-410m,Non-Deduped,0.41,gutenberg,0,0.00012234871919343583
EleutherAI/pythia-410m,Non-Deduped,0.41,arxiv,0,0.8980912633636303
EleutherAI/pythia-410m,Non-Deduped,0.41,bookcorpus2,0,2.9461492946182693e-16
EleutherAI/pythia-410m,Non-Deduped,0.41,opensubtitles,0,0.003273309900324675
EleutherAI/pythia-410m,Non-Deduped,0.41,youtubesubtitles,0,1.8823670748064231e-31
EleutherAI/pythia-410m,Non-Deduped,0.41,ubuntu,0,3.828924203974599e-15
EleutherAI/pythia-410m,Non-Deduped,0.41,europarl,0,9.185872021900945e-05
EleutherAI/pythia-410m,Non-Deduped,0.41,philpapers,0,2.6588519115392105e-24
