model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-12b-deduped,Deduped,12.0,stackexchange,0,0.43398056794124523
EleutherAI/pythia-12b-deduped,Deduped,12.0,wikipedia,0,0.00013662157531756149
EleutherAI/pythia-12b-deduped,Deduped,12.0,cc,0,0.04867097253454625
EleutherAI/pythia-12b-deduped,Deduped,12.0,github,0,0.07474137840493739
EleutherAI/pythia-12b-deduped,Deduped,12.0,openwebtext2,0,0.6992483582652662
EleutherAI/pythia-12b-deduped,Deduped,12.0,freelaw,0,0.05202285478603745
EleutherAI/pythia-12b-deduped,Deduped,12.0,math,0,0.0001897155156112269
EleutherAI/pythia-12b-deduped,Deduped,12.0,uspto,0,9.215516120397484e-05
EleutherAI/pythia-12b-deduped,Deduped,12.0,hackernews,0,2.811747908534072e-07
EleutherAI/pythia-12b-deduped,Deduped,12.0,books3,0,2.3291198259820237e-05
EleutherAI/pythia-12b-deduped,Deduped,12.0,gutenberg,0,0.0007062793768500107
EleutherAI/pythia-12b-deduped,Deduped,12.0,arxiv,0,0.8371482865717679
EleutherAI/pythia-12b-deduped,Deduped,12.0,bookcorpus2,0,2.0719375131836615e-13
EleutherAI/pythia-12b-deduped,Deduped,12.0,opensubtitles,0,0.0002629947788369696
EleutherAI/pythia-12b-deduped,Deduped,12.0,youtubesubtitles,0,6.499476835994953e-27
EleutherAI/pythia-12b-deduped,Deduped,12.0,ubuntu,0,1.8799217730318799e-66
EleutherAI/pythia-12b-deduped,Deduped,12.0,europarl,0,1.43383015093669e-06
EleutherAI/pythia-12b-deduped,Deduped,12.0,philpapers,0,1.8555419299398258e-22
