seed,feature,sample_auc_heldout,member_mean_a,nonmember_mean_a,weight
11,ppl,0.34,-0.23781077940575424,0.23781077940575462,1.9396350383758545
11,k_min_probs_0.05,0.75,-0.2972434164352335,0.29724341643523344,-1.0562543869018555
11,k_min_probs_0.1,0.77,-0.19453633471718218,0.19453633471718218,2.51298189163208
11,k_min_probs_0.2,0.36,-0.008675632251864551,0.00867563225186512,1.181861162185669
11,k_max_probs_0.05,0.54,-0.5286270316373893,0.5286270316373894,1.6363970041275024
11,k_max_probs_0.1,0.5,-0.3701544251733351,0.37015442517333513,1.2599292993545532
11,k_max_probs_0.2,0.41,-0.3183528715396927,0.31835287153969094,1.579380989074707
11,zlib_ratio,0.58,-0.2001815608637542,0.20018156086375444,2.410277843475342
11,ppl_ratio_synonym_substitution,0.61,-0.3565678796282496,0.356567879628244,0.4339222311973572
11,ppl_ratio_butter_fingers,0.7,-0.09685515091776353,0.0968551509177623,-2.1338839530944824
11,ppl_ratio_random_deletion,0.64,-0.32570077964090455,0.32570077964089744,1.9058964252471924
11,ppl_ratio_change_char_case,0.74,-0.11182311819019466,0.111823118190196,4.043105602264404
11,ppl_ratio_whitespace_perturbation,0.8,-0.0012134815015590883,0.0012134815015565903,0.46125543117523193
11,ppl_ratio_underscore_trick,0.6,-0.12494174864081878,0.12494174864081486,-0.8643321394920349
12,ppl,0.57,-0.010301991809797073,0.010301991809798428,-3.2907655239105225
12,k_min_probs_0.05,0.69,-0.3334220418426902,0.33342204184269,2.518720865249634
12,k_min_probs_0.1,0.77,-0.19934685018360043,0.19934685018359963,0.17499954998493195
12,k_min_probs_0.2,0.66,-0.007552399127867493,0.007552399127867648,-3.123950958251953
12,k_max_probs_0.05,0.69,-0.26952418136770334,0.2695241813677033,2.354170083999634
12,k_max_probs_0.1,0.61,-0.13808495829134948,0.1380849582913412,0.8763025403022766
12,k_max_probs_0.2,0.45,-0.006901775325238923,0.006901775325239501,3.744577407836914
12,zlib_ratio,0.69,-0.10750575565132454,0.10750575565132761,-1.8778200149536133
12,ppl_ratio_synonym_substitution,0.66,-0.25180303808048476,0.251803038080485,-0.8186728358268738
12,ppl_ratio_butter_fingers,0.66,-0.19397758035678161,0.1939775803567773,0.6328874826431274
12,ppl_ratio_random_deletion,0.8,-0.10000686909830041,0.10000686909830978,0.9433565139770508
12,ppl_ratio_change_char_case,0.67,-0.2428736320932353,0.24287363209324225,2.5471982955932617
12,ppl_ratio_whitespace_perturbation,0.65,-0.13030299184369176,0.13030299184369326,0.28357943892478943
12,ppl_ratio_underscore_trick,0.7,-0.0760147160403534,0.07601471604034951,0.5351935029029846
13,ppl,0.49,-0.233738417409457,0.23373841740945794,1.3222557306289673
13,k_min_probs_0.05,0.65,-0.5076755470773431,0.5076755470773436,0.5224081873893738
13,k_min_probs_0.1,0.48,-0.6004623921918075,0.6004623921918077,1.8574053049087524
13,k_min_probs_0.2,0.37,-0.5291227611937106,0.5291227611937102,1.636681079864502
13,k_max_probs_0.05,0.69,-0.2863183161173605,0.2863183161173673,0.8069781064987183
13,k_max_probs_0.1,0.54,-0.24096574360733164,0.2409657436073307,1.2385812997817993
13,k_max_probs_0.2,0.52,-0.12868239872050596,0.1286823987205043,2.275902509689331
13,zlib_ratio,0.33,-0.15259373555262135,0.1525937355526215,1.0167429447174072
13,ppl_ratio_synonym_substitution,0.63,-0.12589173630635356,0.12589173630635733,1.7422149181365967
13,ppl_ratio_butter_fingers,0.63,-0.060294849416703086,0.060294849416704176,-2.3500497341156006
13,ppl_ratio_random_deletion,0.8,-0.12550421705928916,0.12550421705928744,1.8929492235183716
13,ppl_ratio_change_char_case,0.56,-0.35261914891961926,0.3526191489196171,1.7283381223678589
13,ppl_ratio_whitespace_perturbation,0.5,-0.35642759735294777,0.3564275973529466,1.518357276916504
13,ppl_ratio_underscore_trick,0.57,-0.15432929403565213,0.15432929403564977,-2.4975335597991943
14,ppl,0.41,-0.004927113939565619,0.004927113939565286,2.835616111755371
14,k_min_probs_0.05,0.76,-0.3456520353644958,0.3456520353644962,1.6266231536865234
14,k_min_probs_0.1,0.85,-0.257312235801639,0.25731223580163903,2.342108726501465
14,k_min_probs_0.2,0.77,-0.008896444649300894,0.008896444649300617,-2.542092800140381
14,k_max_probs_0.05,0.81,-0.07464241429072946,0.0746424142907353,-0.5495813488960266
14,k_max_probs_0.1,0.67,-0.039837502875843867,0.03983750287585201,1.6762484312057495
14,k_max_probs_0.2,0.4,-0.03212055254577324,0.03212055254577697,1.4089343547821045
14,zlib_ratio,0.52,-0.2955709336371374,0.2955709336371394,0.28721925616264343
14,ppl_ratio_synonym_substitution,0.54,-0.36804164916063364,0.3680416491606396,-0.12565843760967255
14,ppl_ratio_butter_fingers,0.47,-0.2873681750571418,0.2873681750571434,1.5680546760559082
14,ppl_ratio_random_deletion,0.58,-0.4225905754406904,0.42259057544069634,2.5220625400543213
14,ppl_ratio_change_char_case,0.67,-0.24839315892244507,0.24839315892244523,2.3035547733306885
14,ppl_ratio_whitespace_perturbation,0.75,-0.09564041192771917,0.09564041192772159,-2.7205865383148193
14,ppl_ratio_underscore_trick,0.24,-0.04688787968467574,0.046887879684678356,1.4045557975769043
15,ppl,0.45,-0.1483291292458473,0.14832912924584857,-0.3853576183319092
15,k_min_probs_0.05,0.71,-0.45719154747737945,0.45719154747737917,1.5886895656585693
15,k_min_probs_0.1,0.72,-0.2572151343087108,0.2572151343087107,0.43309053778648376
15,k_min_probs_0.2,0.64,-0.05330468555004771,0.05330468555004815,-2.045611619949341
15,k_max_probs_0.05,0.76,-0.05885372769493026,0.058853727694931766,2.04758620262146
15,k_max_probs_0.1,0.28,-0.10799436445333414,0.10799436445332992,1.0201449394226074
15,k_max_probs_0.2,0.3,-0.17802394380683909,0.17802394380684233,1.8467844724655151
15,zlib_ratio,0.4,-0.3765008020182919,0.3765008020182938,2.8325135707855225
15,ppl_ratio_synonym_substitution,0.51,-0.3065596264695523,0.3065596264695552,-0.6237211227416992
15,ppl_ratio_butter_fingers,0.53,-0.25847559165629014,0.2584755916562965,-1.538146734237671
15,ppl_ratio_random_deletion,0.54,-0.400167418183966,0.40016741818396717,2.963472604751587
15,ppl_ratio_change_char_case,0.58,-0.24771963906467445,0.24771963906467573,-1.660176157951355
15,ppl_ratio_whitespace_perturbation,0.59,-0.16766929136875738,0.1676692913687545,-1.3940966129302979
15,ppl_ratio_underscore_trick,0.5,-0.2289527096146004,0.22895270961460046,0.27984392642974854
