seed,feature,sample_auc_heldout,member_mean_a,nonmember_mean_a,weight
11,ppl,0.0625,-0.4187046542740288,0.41870465427402825,0.48732390999794006
11,zlib_ratio,0.125,-0.2403975643222333,0.24039756432223358,-2.3850350379943848
11,k_min_probs_0.05,0.75,-0.46748891931715886,0.46748891931715897,0.17327766120433807
11,k_max_probs_0.05,0.0625,-0.6020706506171978,0.6020706506171988,1.8526512384414673
11,k_min_probs_0.1,0.5625,-0.2374486583367846,0.23744865833678477,-2.4434256553649902
11,k_max_probs_0.1,0.0625,-0.6088889526903322,0.6088889526903323,1.9479869604110718
11,k_min_probs_0.2,0.5,-0.1889582301770458,0.18895823017704586,-0.6763706207275391
11,k_max_probs_0.2,0.0625,-0.5195690676952418,0.5195690676952436,1.2924686670303345
11,ppl_ratio_synonym_substitution,0.3125,-0.37411496269463235,0.3741149626946326,0.5959141254425049
11,ppl_ratio_butter_fingers,0.125,-0.3479278716327242,0.34792787163272443,-0.33578038215637207
11,ppl_ratio_random_deletion,0.0625,-0.0679374781268176,0.06793747812681866,-2.7207882404327393
11,ppl_ratio_change_char_case,0.0625,-0.47423426016580006,0.4742342601658004,1.804308295249939
11,ppl_ratio_whitespace_perturbation,0.25,-0.43839465179578213,0.43839465179577985,1.927834391593933
11,ppl_ratio_underscore_trick,0.125,-0.25590353182333325,0.2559035318233357,-0.9325544238090515
11,ref_ppl_ratio_tinystories-1M,0.0,-0.07607133840885008,0.07607133840884983,-1.0929226875305176
11,ref_ppl_ratio_tinystories-33M,0.0,-0.21099591291592518,0.210995912915925,0.3907080888748169
11,ref_ppl_ratio_phi-1_5,0.25,-0.30486100474908595,0.3048610047490856,1.5824854373931885
12,ppl,0.625,-0.16596267894453737,0.16596267894453728,1.6287025213241577
12,zlib_ratio,0.875,-0.10576525763036934,0.10576525763036979,2.017725944519043
12,k_min_probs_0.05,0.75,-0.5246892374045351,0.524689237404535,2.0851564407348633
12,k_max_probs_0.05,0.6875,-0.25431975454874095,0.25431975454874156,-0.2185758799314499
12,k_min_probs_0.1,0.5625,-0.21407123836188052,0.2140712383618808,1.7110099792480469
12,k_max_probs_0.1,0.75,-0.21685209996804605,0.21685209996804683,0.11544832587242126
12,k_min_probs_0.2,0.5625,-0.13215032284355815,0.13215032284355804,-1.2185338735580444
12,k_max_probs_0.2,0.75,-0.19769673020702538,0.19769673020702355,0.7334290146827698
12,ppl_ratio_synonym_substitution,0.3125,-0.35027810794475733,0.35027810794475567,1.4404377937316895
12,ppl_ratio_butter_fingers,0.1875,-0.10697805284180179,0.1069780528418018,1.3945082426071167
12,ppl_ratio_random_deletion,0.75,-0.054939172277278125,0.05493917227727714,0.34198418259620667
12,ppl_ratio_change_char_case,0.625,-0.004955371379430196,0.004955371379433471,-1.1568386554718018
12,ppl_ratio_whitespace_perturbation,0.5,-0.07895922628346425,0.07895922628346463,2.3550379276275635
12,ppl_ratio_underscore_trick,0.3125,-0.0515839856183829,0.05158398561838412,-1.2784110307693481
12,ref_ppl_ratio_tinystories-1M,0.6875,-0.620129996587411,0.6201299965874109,1.326480507850647
12,ref_ppl_ratio_tinystories-33M,0.75,-0.4083581323472011,0.40835813234720103,1.0106686353683472
12,ref_ppl_ratio_phi-1_5,0.1875,-0.210361922216761,0.21036192221676123,2.3603875637054443
